EMPLOYER_NAME,target,value,source,pay
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,140976.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,126300
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,132200
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,132200
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,134087.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,132200
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,149326.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,157719
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,149326.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,149326.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,149326.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,138999
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,157719
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,157719
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,138999
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,138950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,138950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,150293.5
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,82551
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,84142
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,84142
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,82551
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,103394
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,112337.5
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,108261
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,108261
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,112337.5
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,100950
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,142231
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,134087.5
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,132200
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,134087.5
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,132200
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,155482.5
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,169169
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,153881
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,162939
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,153881
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,162939
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,152450
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,152450
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,152450
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,152450
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,153454.5
"Amazon CENTER, INC.",Amazon,5,SANTA CLARA COUNTY,158134.5
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,110700
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,166800
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,114800
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,120000
